[INFO] [1777356219.041134432] [netlab_swarm_bridge]: NETLAB swarm bridge started
[INFO] [1777356306.026094195] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356308.225669651] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356310.225695848] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356312.226113021] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356314.426068330] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356316.426015206] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356318.625686193] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356320.626005993] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356322.826294436] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356325.025908072] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356327.026115180] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356329.226250081] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356331.425757205] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356333.626479413] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356335.626441687] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356337.825998521] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356340.025741427] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356342.025805363] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356344.225760521] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356346.226423694] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356348.426360162] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356350.625675762] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356352.626094411] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356354.826218071] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356357.025891185] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356359.025821468] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356361.225826246] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356363.425825373] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356365.625895131] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356367.625991206] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356369.825927272] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356371.825812925] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356374.026432479] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356376.225713067] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356378.225835841] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356380.425953029] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356382.626004366] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356384.825706289] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356386.826120016] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356389.026021511] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356391.225723904] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356393.226022660] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356395.225963901] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356397.425769924] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356399.426071730] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356401.625918584] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356403.626064447] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356405.825837140] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356407.825889322] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356410.026154110] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356412.225608688] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356414.226209246] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356416.426041399] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356418.626075164] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356420.825704494] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356422.825872727] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356425.025908551] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356427.026002153] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356429.026244206] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356431.225925306] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356433.226164059] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356435.425779178] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356437.426107962] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356439.625731061] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356441.626060165] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356443.626112946] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356445.825850136] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356447.825980987] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356449.825885966] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
